report_board,report_datetime,report_title,row_count
Minnesota Board of Pharmacy,4/13/2026 12:00:22 PM,Facility List - PH,2171

facility_name,license_type,license_nbr,description,grant_date,expire_date,address_line1,address_line2,city,county,state,zip,e_mail
Advanced Care Scripts Inc. (dba) CVS/specialty OR CarelonRx Specialty Pharmacy #48226,PH,263204,Active,07/08/2008,06/30/2026,"6251 Chancellor Dr, Suite 101",,Orlando,,FL,32809,permitinfo@cvshealth.com
Advanced Health Technologies Inc (dba) GEM Edwards Pharmacy,PH,267174,Active,07/23/2025,06/30/2026,5650 Hudson Industrial Parkway,Suite A,Hudson,,OH,44236,rxlicensing@gemedwardspharmacy.com
"Advanced Medical, LLC (dba) Health Care Medical Infusion Specialties",PH,267316,Active,01/07/2026,06/30/2026,"625 S Pear Orchard Road, Suite A",,Ridgeland,,MS,39157,pharmacy@hcmedinfusion.biz
"Advanced Pharmacy Concepts, LLC (dba) Manifest Pharmacy",PH,266616,Active,08/03/2022,06/30/2026,1018 S. Batesville Road,Bldg. 4A,Greer,,SC,29650,admin@manifestrx.com
Advanced Pharmacy LLC (dba) Advanced Pharmacy,PH,264523,Active,08/04/2014,06/30/2026,"350 Feaster Rd, Suite D",,Greenville,,SC,29615,lmccall@advanceddiabeticsolutions.net
Advanced Rx,PH,266124,Active,06/30/2020,06/30/2026,414 Commerce Drive,Ste 100,Fort Washington,,PA,19034,jason@advancedrx.net
"Advanced Rx Pharmacy of Tennessee, LLC (dba) Advanced Rx Pharmacy 060",PH,266618,Active,08/05/2022,06/30/2026,1400 Donelson Pike,Suite A15,Nashville,,TN,37217,rbyrd@advancedrxmgt.com
Adventist Health System Sunbelt Healthcare Corp (dba) RX Plus Pharmacy,PH,267287,Active,11/26/2025,06/30/2026,"5050 Wesley Rd., Ste. 110",,Apopka,,FL,32712,rxplus.pharmacy@adventhealth.com
Aequita Pharmacy LLC,PH,266971,Active,08/08/2024,04/10/2026,12825 NE 126th PL,,Kirkland,,WA,98034,nate@aequitapharmacy.com
"AFA Pharmacy, LLC",PH,266458,Active,12/06/2021,06/30/2026,8821 South Sam Houston Parkway West,Suite 100,Missouri City,,TX,77489,compliance@afapharmacy.com
Afdahl Pharmacy PLLC (dba) MedPoint Pharmacy,PH,267141,Active,06/11/2025,06/30/2026,4110 Central Ave NE,Suite 206,Columbia Heights,Anoka,MN,55421,nawal0825@gmail.com
Affirming Care TX LLC (dba) Affirming Care Pharmacy,PH,267313,Active,01/02/2026,06/30/2026,13331 Nacogdoches Rd,,San Antonio,,TX,78217,affirmingcarerxtx@gmail.com
Affordable Rx Inc.,PH,266630,Active,09/08/2022,06/30/2026,177 Rockaway Ave.,2nd Floor,Valley Stream,,NY,11580,info@affordablescript.com
Afya Pharmacy L.L.C.,PH,264572,Active,03/16/2015,06/30/2026,3407 3rd St N,,St Cloud,Stearns,MN,56303,harunane2000@yahoo.com
Agropec Trading LLC (dba) Allivet,PH,265745,Active,01/29/2019,06/30/2026,14540 NW 60th Avenue,,Miami Lakes,,FL,33014,compliance@allivet.com
"Agropec Trading, LLC (dba) Allivet",PH,266252,Active,12/18/2020,06/30/2026,9882 East 121st Street,,Fishers,,IN,46037,lriera@allivet.com
"Aitkin Community Hospital, Inc. (dba) Riverwood Aitkin Pharmacy",PH,266056,Active,04/24/2020,06/30/2026,171 Red Oak Dr,,Aitkin,Aitkin,MN,56431,ksorenson@rwhealth.org
"Aitkin Community Hospital, Inc. (dba) Riverwood Garrison Clinic Pharmacy",PH,263024,Active,05/18/2007,06/30/2026,27278 State Highway 18,P.O. Box 426,Garrison,Crow Wing,MN,56450,vcorcoranbahl@rwhealth.org
"Aitkin Community Hospital, Inc. (dba) Riverwood Healthcare Center Pharmacy",PH,200446,Active,06/19/1975,06/30/2026,200 Bunker Hill Drive,,Aitkin,Aitkin,MN,56431,spage@rwhealth.org
"Aitkin Community Hospital, Inc. (dba) Riverwood McGregor Pharmacy",PH,266766,Active,06/29/2023,06/30/2026,241 W Hwy 210,,McGregor,Aitkin,MN,55760,spage@rwhealth.org
"Alchemist General, Inc. (dba) Lloyd's Pharmacy",PH,264578,Active,10/31/2014,06/30/2026,720 Snelling Ave N,,St Paul,Ramsey,MN,55104,pharmacy@lloydsrx.com
Alegent Creighton Health (dba) CHI Health Pharmacy - Midlands,PH,266045,Active,04/06/2020,06/30/2026,11109 S. 84th St,Suite 1841,Papillion,,NE,68046,achpharmacypapillion@alegent.com
Alexander's Twin Pharmacy,PH,266343,Active,05/26/2021,06/30/2026,"Hamilton Pharmacy And Medical Company, Inc.",1060 Whitehorse-Mercerville Road,Hamilton,,NJ,08610,prasad@alexanderdrug.com
Align Pharmacy LLC,PH,267081,Active,01/27/2025,06/30/2026,3926 Barron St,Suite C200,Metairie,,LA,70002,hector@alignpharmacy.com
Alixa Rx LLC,PH,263885,Active,05/24/2012,06/30/2026,10132 W 76th St,,Eden Prairie,Hennepin,MN,55344,plans@alixarx.com
Alixa Rx LLC (dba) Alixa Rx,PH,267161,Active,07/15/2025,06/30/2026,1041 Washington Pike,Suite 100,Bridgeville,,PA,15017,plans@alixarx.com
Alixa Rx LLC (dba) Alixa Rx,PH,266081,Active,05/21/2020,06/30/2026,5635 West 96th St,Suite 400,Indianapolis,,IN,46278,plans@alixarx.com
"All Discount Pharmacy, LLC",PH,267340,Active,01/29/2026,06/30/2026,2236 N Dixie Highway,,Boca Raton,,FL,33431,bobby@alldiscountpharmacy.com
"All Discount Pharmacy, LLC",PH,267356,Active,03/02/2026,06/30/2026,15084 Jog Road,,Delray Beach,,FL,33446,bobby@alldiscountpharmacy.com
All Family Pharmacy LLC,PH,267175,Active,07/23/2025,06/30/2026,3350  NW 2nd Ave,Suite A2,Boca Raton,,FL,33431,allfamilypharmacyboca@gmail.com
"All-Care Pharmacy, LLC (dba) Avrio Pharmacy",PH,267183,Active,08/15/2025,06/30/2026,9015 E Pima Center Parkway,Suite 3,Scottsdale,,AZ,85258,info@avriorx.com
"AllCare Plus Pharmacy, LLC",PH,266035,Active,03/24/2020,06/30/2026,50 Bearfoot Road,,Northborough,,MA,01532,john.leighton@rxallcare.com
"AllCare Specialty Pharmacy, LLC",PH,265017,Active,03/15/2016,06/30/2026,"10620 Colonel Glenn Rd, Suite 300",,Little Rock,,AR,72204,mark@allcarepharmacy.com
"Allergychoices, LLC (dba) Allergychoices Pharmacy",PH,266934,Active,06/26/2024,06/30/2026,2731 National Drive,,Onalaska,,WI,54650,mkachel@allergychoices.com
Allina Health (dba) United Hospital Pharmacy; Allina Health,PH,200452,Active,06/19/1975,06/30/2026,333 Smith Avenue N,,St Paul,Ramsey,MN,55102,susan.haight@allina.com
Allina Health System (dba) Abbott Northwestern Hospital,PH,201004,Active,07/10/1975,06/30/2026,800 E 28th Street,,Minneapolis,Hennepin,MN,55407,jessica.swearingen@allina.com
Allina Health System (dba) Allina Health Apple Valley Pharmacy,PH,262655,Active,01/09/2006,06/30/2026,14655 Galaxie Avenue,,Apple Valley,Dakota,MN,55124,matthew.jacobs@allina.com
Allina Health System (dba) Allina Health Cambridge Pharmacy,PH,261558,Active,06/15/1998,06/30/2026,701 Dellwood St S,,Cambridge,Isanti,MN,55008,joseph.martin2@allina.com
Allina Health System (dba) Allina Health Cancer Institute Mercy Pharmacy,PH,266297,Active,03/03/2021,06/30/2026,11850 Blackfoot St NW,,Coon Rapids,Anoka,MN,55433,stacey.rewitzer@allina.com
Allina Health System (dba) Allina Health Compounding Pharmacy,PH,267170,Active,07/22/2025,06/30/2026,2800 10th Ave South,Suite 2500,Minneapolis,Hennepin,MN,55407,jay.dahlstrom@allina.com
Allina Health System (dba) Allina Health Coon Rapids Pharmacy,PH,267136,Active,05/29/2025,06/30/2026,9055 Springbrook Dr NW,Suite 100,Coon Rapids,Anoka,MN,55433,jason.meier@allina.com
Allina Health System (dba) Allina Health Cottage Grove Pharmacy,PH,261406,Active,01/20/1997,06/30/2026,8611 W Pt Douglas Rd S,,Cottage Grove,Washington,MN,55016,elizabeth.johnson5@allina.com
Allina Health System (dba) Allina Health Faribault Medical Center,PH,264615,Active,01/01/2015,06/30/2026,200 State Avenue,,Faribault,Rice,MN,55021,lisa.jackson@allina.com
Allina Health System (dba) Allina Health Faribault Pharmacy ,PH,264602,Active,01/01/2015,06/30/2026,200 State Ave,,Faribault,Rice,MN,55021,amanda.volden@allina.com
Allina Health System (dba) Allina Health Heart Hospital Pharmacy,PH,267023,Active,10/17/2024,06/30/2026,920 East 28th Street,Ste H1254,Minneapolis,Hennepin,MN,55407,jason.meier@allina.com
Allina Health System (dba) Allina Health Mercy Pharmacy ,PH,260412,Active,03/15/1987,06/30/2026,11850 Blackfoot St NW Suite 190,,Coon Rapids,Anoka,MN,55433,emma.lindberg@allina.com
Allina Health System (dba) Allina Health Minneapolis Pharmacy,PH,267171,Active,07/22/2025,06/30/2026,"2800 10 Ave South, Suite 2600",,Minneapolis,Hennepin,MN,55407,marcus.arneson@allina.com
Allina Health System (dba) Allina Health New Ulm Pharmacy  ,PH,264279,Active,12/19/2013,06/30/2026,1217 8th Street North Suite 1010,,New Ulm,Brown,MN,56073,jenifer.kalis@allina.com
Allina Health System (dba) Allina Health Piper Building Pharmacy,PH,261119,Active,07/25/1994,06/30/2026,"1st Floor, Piper Bldg.",913 E 26th St,Minneapolis,Hennepin,MN,55404,holly.drayfahl@allina.com
Allina Health System (dba) Allina Health St. Francis Pharmacy,PH,265156,Active,09/19/2016,06/30/2026,"1455 St Francis Ave, Suite 100",,Shakopee,Scott,MN,55379,melissa.aman@allina.com
Allina Health System (dba) Allina Health United Pharmacy,PH,260524,Active,08/01/1988,06/30/2026,333 Smith Ave N,,St Paul,Ramsey,MN,55102,gregory.arnold@allina.com
Allina Health System (dba) Allina Health Unity Pharmacy,PH,260415,Active,04/01/1987,06/30/2026,550 Osborne Road,,Fridley,Anoka,MN,55432,lori.borchardt@allina.com
Allina Health System (dba) Allina Health WestHealth Pharmacy,PH,261148,Active,09/26/1994,06/30/2026,2855 Campus Drive Suite 180,,Plymouth,Hennepin,MN,55441,lisa.thelen-bachmeier@allina.com
Allina Health System (dba) Allina Health Woodbury Pharmacy,PH,261749,Active,10/01/1999,06/30/2026,8675 Valley Creek Road,,Woodbury,Dakota,MN,55125,colette.o'shea@allina.com
Allina Health System (dba) Cambridge Medical Center,PH,200635,Active,06/26/1975,06/30/2026,701 South Dellwood Street,,Cambridge,Isanti,MN,55008,thomas.caza@allina.com
Allina Health System (dba) Mercy Hospital,PH,260411,Active,03/15/1987,06/30/2026,4050 Coon Rapids Blvd,,Coon Rapids,Anoka,MN,55433,daniel.niznick@allina.com
Allina Health System (dba) Mercy Hospital-Unity Campus; Unity Hospital,PH,260414,Active,04/01/1987,06/30/2026,550 Osborne Road,,Fridley,Anoka,MN,55432,megan.nelson@allina.com
Allina Health System (dba) New Ulm Medical Center; Allina Health System,PH,260416,Active,03/13/1987,06/30/2026,1324 North 5th Street,,New Ulm,Brown,MN,56073,charles.sieberg@allina.com
Allina Health System (dba) Owatonna Hospital,PH,260447,Active,05/01/1987,06/30/2026,2250 NW 26th St,,Owatonna,Steele,MN,55060,john.sanford@allina.com
Allina Health System (dba) Regina Hospital,PH,264271,Active,12/10/2013,06/30/2026,1175 Nininger Rd,,Hastings,Dakota,MN,55033,Rachele.paul@allina.com
"Allina Health System, Inc. (dba) Buffalo Hospital Pharmacy",PH,200454,Active,06/19/1975,06/30/2026,303 Catlin Street,,Buffalo,Wright,MN,55313,dawn.hagen@allina.com
Almac Clinical Services LLC,PH,266327,Active,05/14/2021,06/30/2026,4204 Technology Drive,Room 265,Durham,,NC,27704,acslicensing@almacgroup.com
Almac Clinical Services LLC,PH,266341,Active,05/26/2021,06/30/2026,25 Fretz Road,Room 2182,Souderton,,PA,18964,kristi.tribuiani@almacgroup.com
Alomere Health (dba) Alomere Health,PH,267303,Active,12/11/2025,06/30/2026,111 17th Ave East,,Alexandria,Douglas,MN,56308,jschock@alomerehealth.com
Alto Pharmacy LLC (dba) Alto Pharmacy,PH,267324,Active,01/12/2026,06/30/2026,475 State Highway 121 Bypass,Suite 150,Lewisville,,TX,75067,pharmacycompliance@alto.com
Alto Pharmacy LLC (dba) Alto Pharmacy,PH,266288,Active,02/19/2021,06/30/2026,929 Broadway,,Denver,,CO,80203,andrew.storjohann@alto.com
Alto Pharmacy LLC (dba) Alto Specialty Pharmacy; Alto Pharmacy,PH,266995,Active,08/30/2024,06/30/2026,4175 Freidrich Lane,Suite 202,Austin,,TX,78744,pharmacycompliance@alto.com
Altru Clinic Pharmacy Family Medicine Center Inc. (dba) Altru Clinic Pharmacy Family Medicine Center,PH,264525,Active,08/04/2014,06/30/2026,1380 S Columbia Rd,,Grand Forks,,ND,58201,altruclinicpharmacy@gmail.com
Altru Health System (dba) Altru Health System Pharmacy,PH,261742,Active,09/03/1999,06/30/2026,1200 South Columbia Road,,Grand Forks,,ND,58201,mafsharimehr@altru.org
Altru Health System (dba) Family Medicine Residency Pharmacy,PH,260836,Active,08/01/1991,06/30/2026,725 Hamline Street,,Grand Forks,,ND,58203,rkalenze@altru.org
Amber Enterprises Inc. (dba) Amber Specialty Pharmacy,PH,264482,Active,06/24/2014,06/30/2026,10004 S 152nd St,Suite A,Omaha,,NE,68138,licensure@amberpharmacy.com
America's Best Care Plus Inc.,PH,263049,Active,07/12/2007,06/30/2026,1825 Everett Drive West,,Fort Payne,,AL,35968,pharmacy@abcplus.net
American Life Pharmacy LLC,PH,267217,Active,09/29/2025,06/30/2026,1812 Middlebelt Road,,Garden City,,MI,48135,americanlifepharmacy@gmail.com
"American Mail Order Pharmacy, Inc (dba) AMOP Pharmacy",PH,264149,Active,07/02/2013,06/30/2026,23290 Schoenherr Rd,,Warren,,MI,48089,amoprx@comcast.net
American Outcomes Management LP (dba) AOM Infusion,PH,267045,Active,11/18/2024,06/30/2026,230 Westway Place,Suite 101,Arlington,,TX,76018,mfadeyi@aominfusionrx.com
AMERICAN SERVICE AND PRODUCT INC (DBA) ASAP PHARMACY,PH,267114,Active,03/25/2025,06/30/2026,16612 107th Court,,Orland Park,,IL,60467,ASAPPHARMACY@WECAREASAP.COM
Ameripharm Inc (dba) Medvantx Pharmacy Services,PH,262493,Active,08/05/2004,06/30/2026,2503 East 54th Street North,,Sioux Falls,,SD,57104,sean.harms@medvantx.com
"Ameripharm, Inc. (dba) Medvantx Specialty Pharmacy",PH,264628,Active,01/28/2015,06/30/2026,"1860 Outer Loop, Suite 348",,Louisville,,KY,40219,PIC-KY@medvantx.com
"Amerita, Inc.",PH,266300,Active,03/11/2021,06/30/2026,"14000 N Portland Ave, Ste 205",,Oklahoma City,,OK,73134,compliance@pharmerica.com
AMRx LLC,PH,267142,Active,06/17/2025,06/30/2026,2925 Country Club Rd,Suite # 103,Denton,,TX,76210,info@allmyrxs.com
Angel Care Pharmacy LLC (dba) Angel Care Pharmacy,PH,267266,Active,11/03/2025,06/30/2026,7223A Rising Sun Ave,,Philadelphia,,PA,19111,oxt01@angelcarepharmacy.com
"Animal Health International, Inc.",PH,265020,Active,03/15/2016,06/30/2026,4305 North Westport Ave,,Sioux Falls,,SD,57107,FacilityLicensing@pattersoncompanies.com
"Animal Health International, Inc.",PH,265019,Active,03/15/2016,06/30/2026,1117 West Main St.,,Manchester,,IA,52057,AHILlcensing@AnimalHealthlnternational.com
Animart LLC ,PH,264765,Active,06/22/2015,06/30/2026,1240 Green Valley Rd,,Beaver Dam,,WI,53916,pharmacy@vsi.cc
Anoka-Metro Regional Treatment Center,PH,267276,Active,11/07/2025,06/30/2026,3301 7th Ave,Suite A2131,Anoka,Anoka,MN,55303,DHS.AMRTC.PharmacyRequests@State.mn.us
"AnovoRx Group, LLC",PH,266036,Active,03/24/2020,06/30/2026,1710 N Shelby Oaks Dr,Suite 1,Memphis,,TN,38134,officialcontact@anovorx.com
"AnovoRx Group, LLC",PH,266060,Active,04/24/2020,06/30/2026,1710 N Shelby Oaks Dr.,Suite 5,Memphis,,TN,38134,OfficialContact@anovorx.com
"AnovoRx Group, LLC",PH,266737,Active,06/12/2023,06/30/2027,17500 South 40th Street,"Building B, Suite B600A",Chandler,,AZ,85226,officialcontact@anovorx.com
"AON Pharmacy, LLC",PH,266225,Active,11/05/2020,06/30/2026,14543 Global Parkway,Suite 110,Fort Myers,,FL,33913,complianceaonpharm@aoncology.com
AP Max Incorporated (dba) Southend Pharmacy,PH,267341,Active,01/29/2026,06/30/2026,4802 North Sam Houston Pkwy W,#100,Houston,,TX,77086,licensing@southendpharmacystore.com
Apostrophe Pharmacy LLC,PH,267131,Active,05/27/2025,06/30/2026,1440 N Fiesta Blvd,Suite 100,Gilbert,,AZ,85233,khundt@apostrophe.com
Apotheco Pharmacy Minnetonka LLC,PH,267133,Active,05/27/2025,06/30/2026,13005 Ridgedale Dr,,Minnetonka,Hennepin,MN,55305,minnetonka@apothecopharmacy.com
Apotheco Pharmacy Naperville LLC,PH,267307,Active,12/19/2025,06/30/2026,2155 City Gate Lane,Suite 127,Naperville,,IL,60563,naperville@apothepharmacy.com
Appleton Area Health,PH,266166,Active,08/25/2020,06/30/2026,30 South Behl Street,,Appleton,Swift,MN,56208,tlee@aah-mn.org
"Appling Enterprises, LLC (dba) Carie Boyd Pharmaceuticals",PH,265747,Active,02/01/2019,06/30/2026,2501 W. Oak St.,Ste 100,Denton,,TX,76201,licensing@dentonprescription.com
Apria Healthcare LLC (dba) Star Medical RX,PH,267066,Active,12/26/2024,06/30/2026,2612 NE Industrial Dr.,,Kansas City,,MO,64117,Jon.Brownsberger@Apria.com
Apteek Rx LLC (dba) Beaker Pharmacy,PH,266009,Active,01/28/2020,06/30/2026,7810 Eldorado Pkwy,Suite 200,Mckinney,,TX,75070,david@beakerpharmacy.com
Archangel Pharmacy LLC (dba) Angel Pharmacy,PH,267213,Active,09/29/2025,06/30/2026,"7306 SR 52, Suite #4",,Hudson,,FL,34667,management@angelpharmacy.org
"Ardon Health, LLC",PH,265390,Active,07/31/2017,06/30/2026,11835 NE Glenn Widing Dr,,Portland,,OR,97220,licensing@ardonhealth.com
"Aristacare Health, Inc.",PH,266192,Active,09/25/2020,06/30/2026,1056 W Golf Road,,Hoffman Estates,,IL,60169,spatel@aristach.com
"ARJ Infusion Services, LLC",PH,266499,Active,12/23/2021,06/30/2026,1847 First Ave SE,Ste 100,Cedar Rapids,,IA,52402,info@arjinfusion.com
"ARJ Infusion Services, LLC",PH,266498,Active,12/23/2021,06/30/2027,7930 Marshall Dr,,Lenexa,,KS,66214,info@arjinfusion.com
"Artisan Drug, Inc. (dba) Rush Pharmacy TX01",PH,267297,Active,12/05/2025,06/30/2026,"4690 McDermott Rd., Ste. 177",,Plano,,TX,75024,licensing@artisandrug.com
"ARx Patient Solutions Pharmacy, LLC (dba) ARX Patient Solutions Pharmacy",PH,266889,Active,03/08/2024,06/30/2026,4500 West 107th Street,,Overland Park,,KS,66207,ann.davis@assistrx.com
"Ascension Pharmacy Services, LLC (dba) Ascension Rx 1001",PH,266653,Active,10/12/2022,06/30/2026,7701 Metropolis Drive,Suite 200B,Austin,,TX,78744,liv.gamble@ascension.org
"Ascension Pharmacy Services, LLC (dba) Ascension Rx 1303",PH,266173,Active,09/01/2020,06/30/2026,30055 Northwestern Highway,Suite 225,Farmington Hills,,MI,48334,specialtypharmacy@ascension.org
"ASM Pharmacy, LLC (dba) ASM Home Delivery",PH,267166,Active,07/16/2025,06/30/2026,7041 Girls School Ave,,Indianapolis,,IN,46241,krystal.linley@a-smeds.com
"ASM Pharmacy-Tennessee, LLC (dba) Care4Us Pharmacy ",PH,266669,Active,11/04/2022,06/30/2026,7665 US Highway 70,Suite 102,Bartlett,,TN,38133,lethel.dillard@care4uspharmacy.com
"Aspirus Rhinelander & Tomahawk Hospitals & Clinics, Inc. (dba) Aspirus Pharmacy - Westwood Wausau",PH,267120,Active,04/18/2025,06/30/2026,1901 Westwood Center Blvd.,,Wausau,,WI,54401,Zachary.Miller@Aspirus.org
Astera Health,PH,266698,Active,01/23/2023,06/30/2026,421 11th Street NW,,Wadena,Wadena,MN,56482,aaron.miller@asterahealth.org
"Astrup Drug, Inc (dba) Corner Drug",PH,265662,Active,10/01/2018,06/30/2026,101 S Main St,Suite 115,Le Sueur,Le Sueur,MN,56058,michelle.steiger@yoursterlingpharmacy.com
"Astrup Drug, Inc (dba) Kennedy Drug",PH,265838,Active,06/12/2019,06/30/2026,223 S. Lakeshore Drive,,Lake City,Wabasha,MN,55041,megan.ahrens@yoursterlingpharmacy.com
